latitude,longitude
42.11055971;48.20634499
42,1110376,;48,2066925
42,1107583,;48.2064632
42,1112787,;48.2069108
42,1115443,;48.2071593
42,1117847,;48.2073769
42,1120439,;48.2076146
42,1123033,;48.2078590
42,1125580,;48.2081146
42,1125586,48.20812373
42.11255274,48.20812434
42.11229813,48.20786902
42.1120388,48.20762473
42.11177967,48.20738698
42.11153931,48.20716944
42.1112737,;48.2069208
42.11103283,48.20670289
42.11075443,48.20647407
42.11055992,48.20635829
42.11044131,48.20665937
42.11028939,48.20703194
42.11026532,48.20716312
42.11042646,48.20730869
42.11053671,48.20741563
42.11076838,48.20762199
42.11106428,48.20789627
42.11136555,48.20817296
42.11160822,48.20840071
42.1118933,;48.2086691
42.11207709,48.20884112
42.1123573,;48.2090885
42.11235824,48.20909759
42.11235238,48.20909868
42.11207211,48.20885118
42.11188823,48.20867903
42.11160307,48.20841052
42.1113604,48.20818289
42.1110592,;48.2079062
42.1107634,48.20763204
42.11053174,48.20742556
42.1104214,48.20731874
42.11025768,48.20717083
42.11025586,48.20716438
42.11027255,48.20707307
42.1101423,48.20739229
42.1099985,48.20774713
42.10986783,48.20807963
42.1099785,;48.2081335
42.11020964,48.20820178
42.11021116,48.20820266
42.11051584,48.20847288
42.1108364,;48.2087519
42.11113953,48.20901944
42.1114605,48.20931286
42.11156346,48.20940454
42.11178668,48.20960046
42.11178766,48.20960943
42.11178179,48.20961064
42.1115584,;48.2094146
42.11145553,48.20932292
42.1111345,;48.2090295
42.11083147,48.20876208
42.11051086,48.20848306
42.1102069,48.20821333
42.10997639,48.20814519
42.10986357,48.20809043
42.10972261,48.20844908
42.1096019,;48.2087559
42.10974288,48.20872043
42.10974611,48.20872122
42.10999333,48.20892947
42.11023347,48.20913371
42.11049048,48.20933551
42.1107799,48.20956167
42.11097355,48.20971359
42.11119361,48.20987051
42.11139226,48.21000186
42.11159892,48.21013348
42.11177162,48.21025076
42.11196649,48.21038276
42.11196835,48.21038521
42.11203709,48.21054923
42.11203483,48.21055777
42.11202928,48.21055512
42.11196125,48.21039269
42.11176763,48.21026156
42.11159502,48.21014441
42.11138836,48.21001278
42.11118962,48.20988131
42.11096929,48.20972426
42.1107753,;48.2095721
42.11048595,48.20934606
42.11022886,48.20914402
42.10998853,48.20893965
42.10974274,48.20873276
42.10959676,48.20876958
42.10950861,48.20902677
42.1093961,48.20929689
42.10929664,48.20953571
42.10928415;,8.20962964;
42.10930323;,8.20964574;
42.10940563;,8.20963452;
42.10940823,48.2096353;
42.10968876;,8.20985112;
42.10998649,48.2100743;
42.11026796;,8.21030199;
42.11055171;,8.21051921;
42.11082377;,8.21072749;
42.11107827,48.2109122;
42.11164754;,8.21132553;
42.11164906;,8.21133439;
42.11164328;,8.21133621;
42.11107392;,8.21092287;
42.11081942;,8.21073804;
42.11054727;,8.21052976;
42.11026343;,8.21031242;
42.10998205;,8.21008485;
42.10968432;,8.20986167;
42.10940504;,8.20964672;
42.10930472;,8.20965774;
42.10929716;,8.20967391;
42.10929092;,8.20967584;
42.109268;,8.20965639;
42.10926699;,8.20965021;
42.1092392;,8.20965629;
42.10911232;,8.21001123;
42.10921605;,8.21009712;
42.1095094;,8.21031828;
42.10965169;,8.21041765;
42.1098303;,8.21055438;
42.11012226;,8.21076125;
42.11028175;,8.21086109;
42.11053246;,8.21104585;
42.1107818,;48.211229;
42.11108193;,8.21145103;
42.11140631;,8.21169738;
42.11140774;,8.21170624;
42.11140187;,8.21170781;
42.11107758;,8.21146171;
42.11077759;,8.21123956;
42.11053312;,8.21106001;
42.11051115;,8.21116378;
42.11050508;,8.21116765;
42.11050246;,8.21116046;
42.11052499;,8.21105404;
42.11027784;,8.21087202;
42.11011836;,8.21077218;
42.10982603;,8.21056506;
42.10964752;,8.21042832;
42.10950513;,8.21032895;
42.10921331;,8.21010891;
42.10910961;,8.21015638;
42.10910381;,8.21015179;
42.10910677;,8.21014484;
42.10920332;,8.21010073;
42.10910413;,8.21001856;
42.10910242;,8.21001091;
42.10914034,48.2099048;
42.10904751;,8.21013856;
42.1088366;,8.21066468;
42.1087552,48.2108821;
42.10883009;,8.21092352;
42.10917768;,8.21123549;
42.10944246;,8.21144193;
42.10956641,48.2114355;
42.1095710,;48.211442;
42.10956673;,8.21144759;
42.10945773;,8.21145324;
42.10973022;,8.21165476;
42.11005231;,8.21190552;
42.11035143;,8.21213225;
42.11065309;,8.21236592;
42.11059564;,8.21223128;
42.11059781;,8.21222274;
42.11060345;,8.21222527;
42.11066862;,8.21237797;
42.11096465,48.2126073;
42.1112371;,8.21281257;
42.1111903;,8.21269132;
42.11119274;,8.21268291;
42.11119829,48.2126858;
42.111252;,8.21282497;
42.11125106;,8.21282809;
42.11125156;,8.21283137;
42.11125003;,8.21283182;
42.11124956;,8.21283338;
42.11124768,48.2128325;
42.11124578;,8.21283306;
42.11096021;,8.21261785;
42.11066302;,8.21238765;
42.11034699;,8.21214268;
42.11004787;,8.21191607;
42.10972578;,8.21166531;
42.10943919;,8.21145334;
42.10917297;,8.21124579;
42.10882627;,8.21093444;
42.10874727;,8.21089076;
42.10874647;,8.21089014;
42.10874493;,8.21088249;
42.10882856;,8.21065919;
42.10903956;,8.21013295;
42.10923218;,8.20964805;
42.10923536;,8.20964497;
42.10927191;,8.20963689;
42.10927496,48.2096303;
42.10928794;,8.20953263;
42.10928841;,8.20953071;
42.10938825;,8.20929092;
42.10950057;,8.20902153;
42.10958955,48.2087617;
42.10971466;,8.20844335;
42.10985738;,8.20808015;
42.10999055;,8.20774153;
42.11013444;,8.20738645;
42.11028117;,8.20702682;
42.11043336;,8.20665364;
42.11055392;,8.20634765;
42.11055971;,8.20634499;
42.1089149,;48.2026306
42.1091485,;48.2028407
42.1093860,;48.2030548
42.1095808,;48.2032417
42.10978,;48.2034170
42.1099632,;48.2035736
42.11015,11;48.20374
42.110347,;48.2039297
42.1105755,;48.2041468
42.11075626,48.20430952
42.11104532,48.20457712
42.11104611,48.20458621
42.11104025,48.20458706
42.11075129,48.20431958
42.11057054,48.20415694
42.11034205,48.20393953
42.11015205,48.20375906
42.10995829,48.20358382
42.1097762,;48.2034272
42.10957579,48.20325184
42.10938099,48.20306474
42.10914355,48.20285079
42.10891387,48.20264413
42.1088725,48.20273675
42.1090923,48.20293403
42.10932186,48.20313597
42.10951209,48.20331222
42.10971967,48.20351553
42.10990689,48.20368011
42.11008937,48.20384109
42.11028884,48.20403688
42.11028946,48.20404596
42.11028351,48.20404668
42.11008431,48.20385103
42.10990191,48.20369029
42.1097147,48.20352559
42.10950694,48.20332215
42.10931688,48.20314603
42.1090873,;48.2029442
42.10886752,48.20274681
42.10874187,48.20297846
42.10859526,48.20325624
42.10880169,48.20346497
42.10899864,48.20362853
42.10920598,48.20382121
42.1094511,48.20405635
42.10968766,48.20427622
42.1098437,48.20441853
42.11005747,48.20461533
42.11028762,48.20483676
42.1105333,48.20507084
42.11080082,48.20532265
42.11080162,48.20533161
42.11079567,48.20533258
42.11052814,48.20508077
42.11028238,48.20484669
42.11005232,48.20462526
42.10983864,48.20442858
42.1096826,48.20428627
42.10944595,48.20406629
42.10920083,48.20383114
42.10899385,48.20363871
42.10879681,48.20347503
42.10859019,48.20326629
42.10854135,48.20336723
42.10875701,48.20357203
42.1089284,48.20372662
